PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,class
7.659289843,-9.572427781,17.11269667,1.431026734,-1.493160872,6.082552903,3.178656744,-2.201048089,docetaxel resistant tumor
-5.738036771,-3.005199227,13.0352192,-5.134611543,-4.189016248,-2.138160658,3.312226349,4.33197534,docetaxel resistant tumor
-5.490780364,-4.127338682,10.42951806,-1.905512165,2.823161767,7.12983364,3.604810945,9.368641418,docetaxel resistant tumor
15.97557164,-13.80812452,15.07861075,3.510375206,2.36561552,2.730063804,-0.551900751,-5.978345007,docetaxel resistant tumor
-11.09314211,-1.6465333,8.525449108,-14.30399762,-6.487115444,-10.45635124,-5.384359044,-4.625034773,docetaxel resistant tumor
30.94165225,0.170940232,1.891098613,3.387671758,3.765544195,-6.640370966,2.052858979,-1.682992841,docetaxel resistant tumor
8.928624085,14.33401745,2.742829026,-1.502713939,10.91044359,-1.369745299,-0.947322137,-3.605979393,docetaxel resistant tumor
-2.608395296,16.76618439,5.298206215,4.465908697,6.076031275,1.627197222,-5.737424023,-2.62424449,docetaxel resistant tumor
-10.19066741,15.20408525,3.218250231,15.11603669,-2.110859219,0.444192992,-3.179225324,-0.880403623,docetaxel resistant tumor
-5.934216965,-8.082681355,-3.591866375,14.0315585,-1.345584441,-1.661369147,-6.749926957,3.297553249,docetaxel resistant tumor
1.958774814,8.172118225,2.70167598,-5.025612569,-10.89689708,-0.930452561,-5.400214655,-3.562789964,docetaxel resistant tumor
16.27114702,-5.112418316,-11.79555431,-0.298087353,-3.077102081,-2.170036322,-1.298926641,5.472438976,docetaxel resistant tumor
10.76478105,2.644998053,-7.726388682,-3.324735852,-0.537828465,-3.989436261,1.434024956,3.379111514,docetaxel resistant tumor
16.29169884,6.331386045,-6.289601666,-3.312496998,-2.028536558,-4.910043628,4.2475351,5.238370757,docetaxel resistant tumor
-17.36487017,1.6868478,-1.186961292,-8.682162907,12.06161287,-2.030570116,1.961107398,1.270017123,docetaxel sensitive tumor
-10.21293328,-2.110388646,1.448168902,-2.360199823,-0.556100553,0.073587088,-3.792052932,4.657629429,docetaxel sensitive tumor
-11.98905769,-2.071894956,1.660921204,0.938280331,2.683327919,-3.522374042,-0.826286968,5.769307452,docetaxel sensitive tumor
2.51811554,18.53960061,-1.879497572,-3.090794171,-8.014945564,11.4602331,6.074322781,1.532716133,docetaxel sensitive tumor
-8.228151261,-11.2844716,-3.691181711,7.163483526,-1.826937198,-0.671649777,2.403406747,-1.568977769,docetaxel sensitive tumor
-2.010242624,-6.742436175,-11.29768707,-4.489844239,-1.641797343,7.720474031,-2.568926206,-4.562417293,docetaxel sensitive tumor
-16.46266377,0.145062146,-6.137913373,7.427541065,-3.924991706,-6.200858126,13.86802206,-7.509046383,docetaxel sensitive tumor
1.816447876,-6.199641375,-12.67835646,-6.570079064,-0.42508388,7.515646997,-3.980217191,-4.355346225,docetaxel sensitive tumor
-5.75703534,-5.554080251,-9.840555284,-4.33706713,8.732203,2.432294341,2.043823497,-3.272092938,docetaxel sensitive tumor
-0.045909905,-4.677604025,-7.027080166,6.866032875,-0.861983486,-0.524657972,-3.764012727,2.110957396,docetaxel sensitive tumor
